id,client,method,path,frontend_source,consumer_import_evidence,enablement,go_router_source,java_controller_source,status,status_basis,auth_tenant,request_encoding,required_types,arrays,dates_timezone,pagination,money,null_missing_zero,enums_ids,http_business_code,side_effects,tests,acceptance
T01-001,uniapp,POST,/app-api/member/auth/login,sheep/api/member/auth.js:7,pages/public/setting.vue;sheep/components/s-auth-modal/components/account-login.vue;sheep/components/s-auth-modal/components/sms-login.vue;sheep/platform/provider/alipay/miniProgram.js;sheep/platform/provider/wechat/miniProgram.js;sheep/platform/provider/wechat/officialAccount.js,candidate first-phase; runtime menus/config unverified,internal/api/router/app.go:29,yudao-module-member/src/main/java/cn/iocoder/yudao/module/member/controller/app/auth/AppAuthController.java:45,部分对齐,Route registered only; DTO/binding/auth/behavior NOT accepted,Go group middleware: ; inline middleware: see registration; global tenant middleware NOT acceptance; wire-contract.md,Java @RequestBody JSON,public CommonResult<AppAuthLoginRespVO> login(@RequestBody @Valid AppAuthLoginReqVO reqVO); VO annotations: fields.json (inheritance unresolved),Endpoint-specific; settlement indexed dotted keys; other serializers require wire capture,Java LocalDateTime epoch ms uses JVM system zone; Go AppTradeOrder uses JsonDateTime ms while admin TradeOrderBase uses time.Time; field-by-field review pending,For page: pageNo/pageSize -> data.list/data.total; defaults/empty list pending runtime,Integer fen where annotated 分 in VO; never infer every numeric field is money,Distinct; per-endpoint verification pending; see edge cases,Preserve Java/Go declarations; safe-integer boundary pending wire decision,CommonResult code/msg/data; Go helpers HTTP 200 incl business error; middleware/Java failures pending,Controller method_source records service calls; transactions/auth/payment side effects NOT tested,tests/test_inventory.py provenance for all rows; tests/frontend-contracts.cjs SELECTED cases only; see wire-contract.md,待处理: Batch D HTTP/DB/page E2E not run
T01-002,uniapp,POST,/app-api/member/auth/sms-login,sheep/api/member/auth.js:20,pages/public/setting.vue;sheep/components/s-auth-modal/components/account-login.vue;sheep/components/s-auth-modal/components/sms-login.vue;sheep/platform/provider/alipay/miniProgram.js;sheep/platform/provider/wechat/miniProgram.js;sheep/platform/provider/wechat/officialAccount.js,candidate first-phase; runtime menus/config unverified,internal/api/router/app.go:30,yudao-module-member/src/main/java/cn/iocoder/yudao/module/member/controller/app/auth/AppAuthController.java:74,部分对齐,Route registered only; DTO/binding/auth/behavior NOT accepted,Go group middleware: ; inline middleware: see registration; global tenant middleware NOT acceptance; wire-contract.md,Java @RequestBody JSON,public CommonResult<AppAuthLoginRespVO> smsLogin(@RequestBody @Valid AppAuthSmsLoginReqVO reqVO); VO annotations: fields.json (inheritance unresolved),Endpoint-specific; settlement indexed dotted keys; other serializers require wire capture,Java LocalDateTime epoch ms uses JVM system zone; Go AppTradeOrder uses JsonDateTime ms while admin TradeOrderBase uses time.Time; field-by-field review pending,For page: pageNo/pageSize -> data.list/data.total; defaults/empty list pending runtime,Integer fen where annotated 分 in VO; never infer every numeric field is money,Distinct; per-endpoint verification pending; see edge cases,Preserve Java/Go declarations; safe-integer boundary pending wire decision,CommonResult code/msg/data; Go helpers HTTP 200 incl business error; middleware/Java failures pending,Controller method_source records service calls; transactions/auth/payment side effects NOT tested,tests/test_inventory.py provenance for all rows; tests/frontend-contracts.cjs SELECTED cases only; see wire-contract.md,待处理: Batch D HTTP/DB/page E2E not run
T01-003,uniapp,POST,/app-api/member/auth/send-sms-code,sheep/api/member/auth.js:33,pages/public/setting.vue;sheep/components/s-auth-modal/components/account-login.vue;sheep/components/s-auth-modal/components/sms-login.vue;sheep/platform/provider/alipay/miniProgram.js;sheep/platform/provider/wechat/miniProgram.js;sheep/platform/provider/wechat/officialAccount.js,candidate first-phase; runtime menus/config unverified,internal/api/router/app.go:32,yudao-module-member/src/main/java/cn/iocoder/yudao/module/member/controller/app/auth/AppAuthController.java:81,部分对齐,Route registered only; DTO/binding/auth/behavior NOT accepted,Go group middleware: ; inline middleware: see registration; global tenant middleware NOT acceptance; wire-contract.md,Java @RequestBody JSON,public CommonResult<Boolean> sendSmsCode(@RequestBody @Valid AppAuthSmsSendReqVO reqVO); VO annotations: fields.json (inheritance unresolved),Endpoint-specific; settlement indexed dotted keys; other serializers require wire capture,Java LocalDateTime epoch ms uses JVM system zone; Go AppTradeOrder uses JsonDateTime ms while admin TradeOrderBase uses time.Time; field-by-field review pending,For page: pageNo/pageSize -> data.list/data.total; defaults/empty list pending runtime,Integer fen where annotated 分 in VO; never infer every numeric field is money,Distinct; per-endpoint verification pending; see edge cases,Preserve Java/Go declarations; safe-integer boundary pending wire decision,CommonResult code/msg/data; Go helpers HTTP 200 incl business error; middleware/Java failures pending,Controller method_source records service calls; transactions/auth/payment side effects NOT tested,tests/test_inventory.py provenance for all rows; tests/frontend-contracts.cjs SELECTED cases only; see wire-contract.md,待处理: Batch D HTTP/DB/page E2E not run
T01-004,uniapp,POST,/app-api/member/auth/logout,sheep/api/member/auth.js:49,pages/public/setting.vue;sheep/components/s-auth-modal/components/account-login.vue;sheep/components/s-auth-modal/components/sms-login.vue;sheep/platform/provider/alipay/miniProgram.js;sheep/platform/provider/wechat/miniProgram.js;sheep/platform/provider/wechat/officialAccount.js,candidate first-phase; runtime menus/config unverified,internal/api/router/app.go:34,yudao-module-member/src/main/java/cn/iocoder/yudao/module/member/controller/app/auth/AppAuthController.java:52,部分对齐,Route registered only; DTO/binding/auth/behavior NOT accepted,Go group middleware: ; inline middleware: see registration; global tenant middleware NOT acceptance; wire-contract.md,Java query/model binding; see signature,public CommonResult<Boolean> logout(HttpServletRequest request); VO annotations: fields.json (inheritance unresolved),Endpoint-specific; settlement indexed dotted keys; other serializers require wire capture,Java LocalDateTime epoch ms uses JVM system zone; Go AppTradeOrder uses JsonDateTime ms while admin TradeOrderBase uses time.Time; field-by-field review pending,For page: pageNo/pageSize -> data.list/data.total; defaults/empty list pending runtime,Integer fen where annotated 分 in VO; never infer every numeric field is money,Distinct; per-endpoint verification pending; see edge cases,Preserve Java/Go declarations; safe-integer boundary pending wire decision,CommonResult code/msg/data; Go helpers HTTP 200 incl business error; middleware/Java failures pending,Controller method_source records service calls; transactions/auth/payment side effects NOT tested,tests/test_inventory.py provenance for all rows; tests/frontend-contracts.cjs SELECTED cases only; see wire-contract.md,待处理: Batch D HTTP/DB/page E2E not run
T01-005,uniapp,POST,/app-api/member/auth/refresh-token,sheep/api/member/auth.js:56,pages/public/setting.vue;sheep/components/s-auth-modal/components/account-login.vue;sheep/components/s-auth-modal/components/sms-login.vue;sheep/platform/provider/alipay/miniProgram.js;sheep/platform/provider/wechat/miniProgram.js;sheep/platform/provider/wechat/officialAccount.js,candidate first-phase; runtime menus/config unverified,internal/api/router/app.go:35,yudao-module-member/src/main/java/cn/iocoder/yudao/module/member/controller/app/auth/AppAuthController.java:64,部分对齐,Route registered only; DTO/binding/auth/behavior NOT accepted,Go group middleware: ; inline middleware: see registration; global tenant middleware NOT acceptance; wire-contract.md,Java query/model binding; see signature,"public CommonResult<AppAuthLoginRespVO> refreshToken(@RequestParam(""refreshToken"") String refreshToken); VO annotations: fields.json (inheritance unresolved)",Endpoint-specific; settlement indexed dotted keys; other serializers require wire capture,Java LocalDateTime epoch ms uses JVM system zone; Go AppTradeOrder uses JsonDateTime ms while admin TradeOrderBase uses time.Time; field-by-field review pending,For page: pageNo/pageSize -> data.list/data.total; defaults/empty list pending runtime,Integer fen where annotated 分 in VO; never infer every numeric field is money,Distinct; per-endpoint verification pending; see edge cases,Preserve Java/Go declarations; safe-integer boundary pending wire decision,CommonResult code/msg/data; Go helpers HTTP 200 incl business error; middleware/Java failures pending,Controller method_source records service calls; transactions/auth/payment side effects NOT tested,tests/test_inventory.py provenance for all rows; tests/frontend-contracts.cjs SELECTED cases only; see wire-contract.md,待处理: Batch D HTTP/DB/page E2E not run
T01-006,uniapp,GET,/app-api/member/auth/social-auth-redirect,sheep/api/member/auth.js:70,pages/public/setting.vue;sheep/components/s-auth-modal/components/account-login.vue;sheep/components/s-auth-modal/components/sms-login.vue;sheep/platform/provider/alipay/miniProgram.js;sheep/platform/provider/wechat/miniProgram.js;sheep/platform/provider/wechat/officialAccount.js,candidate first-phase; runtime menus/config unverified,internal/api/router/app.go:36,yudao-module-member/src/main/java/cn/iocoder/yudao/module/member/controller/app/auth/AppAuthController.java:99,部分对齐,Route registered only; DTO/binding/auth/behavior NOT accepted,Go group middleware: ; inline middleware: see registration; global tenant middleware NOT acceptance; wire-contract.md,Java query/model binding; see signature,"public CommonResult<String> socialAuthRedirect(@RequestParam(""type"") Integer type, @RequestParam(""redirectUri"") String redirectUri); VO annotations: fields.json (inheritance unresolved)",Endpoint-specific; settlement indexed dotted keys; other serializers require wire capture,Java LocalDateTime epoch ms uses JVM system zone; Go AppTradeOrder uses JsonDateTime ms while admin TradeOrderBase uses time.Time; field-by-field review pending,For page: pageNo/pageSize -> data.list/data.total; defaults/empty list pending runtime,Integer fen where annotated 分 in VO; never infer every numeric field is money,Distinct; per-endpoint verification pending; see edge cases,Preserve Java/Go declarations; safe-integer boundary pending wire decision,CommonResult code/msg/data; Go helpers HTTP 200 incl business error; middleware/Java failures pending,Controller method_source records service calls; transactions/auth/payment side effects NOT tested,tests/test_inventory.py provenance for all rows; tests/frontend-contracts.cjs SELECTED cases only; see wire-contract.md,待处理: Batch D HTTP/DB/page E2E not run
T01-007,uniapp,POST,/app-api/member/auth/social-login,sheep/api/member/auth.js:85,pages/public/setting.vue;sheep/components/s-auth-modal/components/account-login.vue;sheep/components/s-auth-modal/components/sms-login.vue;sheep/platform/provider/alipay/miniProgram.js;sheep/platform/provider/wechat/miniProgram.js;sheep/platform/provider/wechat/officialAccount.js,candidate first-phase; runtime menus/config unverified,internal/api/router/app.go:31,yudao-module-member/src/main/java/cn/iocoder/yudao/module/member/controller/app/auth/AppAuthController.java:111,部分对齐,Route registered only; DTO/binding/auth/behavior NOT accepted,Go group middleware: ; inline middleware: see registration; global tenant middleware NOT acceptance; wire-contract.md,Java @RequestBody JSON,public CommonResult<AppAuthLoginRespVO> socialLogin(@RequestBody @Valid AppAuthSocialLoginReqVO reqVO); VO annotations: fields.json (inheritance unresolved),Endpoint-specific; settlement indexed dotted keys; other serializers require wire capture,Java LocalDateTime epoch ms uses JVM system zone; Go AppTradeOrder uses JsonDateTime ms while admin TradeOrderBase uses time.Time; field-by-field review pending,For page: pageNo/pageSize -> data.list/data.total; defaults/empty list pending runtime,Integer fen where annotated 分 in VO; never infer every numeric field is money,Distinct; per-endpoint verification pending; see edge cases,Preserve Java/Go declarations; safe-integer boundary pending wire decision,CommonResult code/msg/data; Go helpers HTTP 200 incl business error; middleware/Java failures pending,Controller method_source records service calls; transactions/auth/payment side effects NOT tested,tests/test_inventory.py provenance for all rows; tests/frontend-contracts.cjs SELECTED cases only; see wire-contract.md,待处理: Batch D HTTP/DB/page E2E not run
T01-008,uniapp,POST,/app-api/member/auth/weixin-mini-app-login,sheep/api/member/auth.js:101,pages/public/setting.vue;sheep/components/s-auth-modal/components/account-login.vue;sheep/components/s-auth-modal/components/sms-login.vue;sheep/platform/provider/alipay/miniProgram.js;sheep/platform/provider/wechat/miniProgram.js;sheep/platform/provider/wechat/officialAccount.js,candidate first-phase; runtime menus/config unverified,internal/api/router/app.go:37,yudao-module-member/src/main/java/cn/iocoder/yudao/module/member/controller/app/auth/AppAuthController.java:118,部分对齐,Route registered only; DTO/binding/auth/behavior NOT accepted,Go group middleware: ; inline middleware: see registration; global tenant middleware NOT acceptance; wire-contract.md,Java @RequestBody JSON,public CommonResult<AppAuthLoginRespVO> weixinMiniAppLogin(@RequestBody @Valid AppAuthWeixinMiniAppLoginReqVO reqVO); VO annotations: fields.json (inheritance unresolved),Endpoint-specific; settlement indexed dotted keys; other serializers require wire capture,Java LocalDateTime epoch ms uses JVM system zone; Go AppTradeOrder uses JsonDateTime ms while admin TradeOrderBase uses time.Time; field-by-field review pending,For page: pageNo/pageSize -> data.list/data.total; defaults/empty list pending runtime,Integer fen where annotated 分 in VO; never infer every numeric field is money,Distinct; per-endpoint verification pending; see edge cases,Preserve Java/Go declarations; safe-integer boundary pending wire decision,CommonResult code/msg/data; Go helpers HTTP 200 incl business error; middleware/Java failures pending,Controller method_source records service calls; transactions/auth/payment side effects NOT tested,tests/test_inventory.py provenance for all rows; tests/frontend-contracts.cjs SELECTED cases only; see wire-contract.md,待处理: Batch D HTTP/DB/page E2E not run
T01-009,uniapp,POST,/app-api/member/auth/create-weixin-jsapi-signature,sheep/api/member/auth.js:118,pages/public/setting.vue;sheep/components/s-auth-modal/components/account-login.vue;sheep/components/s-auth-modal/components/sms-login.vue;sheep/platform/provider/alipay/miniProgram.js;sheep/platform/provider/wechat/miniProgram.js;sheep/platform/provider/wechat/officialAccount.js,candidate first-phase; runtime menus/config unverified,internal/api/router/app.go:38,yudao-module-member/src/main/java/cn/iocoder/yudao/module/member/controller/app/auth/AppAuthController.java:125,部分对齐,Route registered only; DTO/binding/auth/behavior NOT accepted,Go group middleware: ; inline middleware: see registration; global tenant middleware NOT acceptance; wire-contract.md,Java query/model binding; see signature,"public CommonResult<SocialWxJsapiSignatureRespDTO> createWeixinMpJsapiSignature(@RequestParam(""url"") String url); VO annotations: fields.json (inheritance unresolved)",Endpoint-specific; settlement indexed dotted keys; other serializers require wire capture,Java LocalDateTime epoch ms uses JVM system zone; Go AppTradeOrder uses JsonDateTime ms while admin TradeOrderBase uses time.Time; field-by-field review pending,For page: pageNo/pageSize -> data.list/data.total; defaults/empty list pending runtime,Integer fen where annotated 分 in VO; never infer every numeric field is money,Distinct; per-endpoint verification pending; see edge cases,Preserve Java/Go declarations; safe-integer boundary pending wire decision,CommonResult code/msg/data; Go helpers HTTP 200 incl business error; middleware/Java failures pending,Controller method_source records service calls; transactions/auth/payment side effects NOT tested,tests/test_inventory.py provenance for all rows; tests/frontend-contracts.cjs SELECTED cases only; see wire-contract.md,待处理: Batch D HTTP/DB/page E2E not run
T01-010,uniapp,GET,/app-api/member/user/get,sheep/api/member/user.js:7,pages/user/info.vue;sheep/components/s-auth-modal/components/change-mobile.vue;sheep/components/s-auth-modal/components/change-password.vue;sheep/components/s-auth-modal/components/mp-authorization.vue;sheep/components/s-auth-modal/components/reset-password.vue;sheep/platform/provider/alipay/miniProgram.js;sheep/platform/provider/wechat/miniProgram.js;sheep/store/user.js,candidate first-phase; runtime menus/config unverified,internal/api/router/app.go:45,yudao-module-member/src/main/java/cn/iocoder/yudao/module/member/controller/app/user/AppMemberUserController.java:35,部分对齐,Route registered only; DTO/binding/auth/behavior NOT accepted,Go group middleware: middleware.Auth(); inline middleware: see registration; global tenant middleware NOT acceptance; wire-contract.md,Java query/model binding; see signature,public CommonResult<AppMemberUserInfoRespVO> getUserInfo(); VO annotations: fields.json (inheritance unresolved),Endpoint-specific; settlement indexed dotted keys; other serializers require wire capture,Java LocalDateTime epoch ms uses JVM system zone; Go AppTradeOrder uses JsonDateTime ms while admin TradeOrderBase uses time.Time; field-by-field review pending,For page: pageNo/pageSize -> data.list/data.total; defaults/empty list pending runtime,Integer fen where annotated 分 in VO; never infer every numeric field is money,Distinct; per-endpoint verification pending; see edge cases,Preserve Java/Go declarations; safe-integer boundary pending wire decision,CommonResult code/msg/data; Go helpers HTTP 200 incl business error; middleware/Java failures pending,Controller method_source records service calls; transactions/auth/payment side effects NOT tested,tests/test_inventory.py provenance for all rows; tests/frontend-contracts.cjs SELECTED cases only; see wire-contract.md,待处理: Batch D HTTP/DB/page E2E not run
